city,country,Lat,Long
Albury, AU,-36.073532692208204, 146.91362477916837
BadgerysCreek, AU,-33.87460934167028, 150.76509767630048
Cobar, AU,-31.447537454083616, 145.77942573318404
CoffsHarbour, AU,-30.287778011324267, 153.11868223685414
Moree, AU,-29.43422325610318, 149.83079991338894
Newcastle, AU,-32.91377606539496, 151.7823902376045
NorahHead, AU,-33.28219547668964, 151.56654220599296
NorfolkIsland, AU,-29.01932609683248, 167.9392118843132
Penrith, AU,-33.750258705322146, 150.68688488777983
Richmond, AU,-37.823724389747625, 144.99895287757397
Sydney, AU,-33.86627381099962, 151.21520505823702
SydneyAirport, AU,-33.94985638371222, 151.18185875400974
WaggaWagga, AU,-35.108589683408326, 147.36103059460453
Williamtown, AU,-32.81094456885889, 151.84373985602667
Wollongong, AU,-34.42466435602484, 150.8934918757576
Canberra, AU,-35.280043376386125, 149.1287272743078
Tuggeranong, AU,-35.45178450140192, 149.1064818375349
MountGinini, AU,-35.52851054732518, 148.7721498267493
Ballarat, AU,-37.555728845780145, 143.8506791983639
Bendigo, AU,-36.759720928750966, 144.27860697095596
Sale, AU,-38.1051279033159, 147.06837911712609
MelbourneAirport, AU,-37.668337140178174, 144.84980177110438
Melbourne, AU,-37.80676081312438, 144.9689182845859
Mildura, AU,-34.20576723697471, 142.1372086491942
Nhil, AU,-36.30739195347284, 141.6355167024751
Portland, AU,-38.35976885674944, 141.60419925395487
Watsonia, AU,-37.71052889224301, 145.083974340123
Dartmoor, AU,-37.91995939947909, 141.2752638200556
Brisbane, AU,-27.45378595040567, 153.0274977201916
Cairns, AU,-16.890334484422425, 145.7292953972532
GoldCoast, AU,-28.010543200377196, 153.40231273369642
Townsville, AU,-19.259267805994146, 146.815735265553
Adelaide, AU,-34.91152746923675, 138.60014578422548
MountGambier, AU,-37.822727661504906, 140.78227492871486
Nuriootpa, AU,-34.464762758190886, 138.98464339618695
Woomera, AU,-31.168314842784365, 136.82101464853412
Albany, AU,-35.02340644155109, 117.88330557085841
Witchcliffe, AU,-34.02522380289758, 115.0999800742509
PearceRAAF, AU,-31.670276237298438, 116.01705405592769
PerthAirport, AU,-31.949397683609025, 115.97199713930775
Perth, AU,-31.947744837394144, 115.85713646267372
SalmonGums, AU,-32.84485070223215, 121.62971856503367
Walpole, AU,-34.98491543072387, 116.79802670059775
Hobart, AU,-42.882591436589, 147.3254235059856
Launceston, AU,-41.439301603465545, 147.1344452767421
AliceSprings, AU,-23.697820828840392, 133.88150323300633
Darwin, AU,-12.463933440321531, 130.84403400586223
Katherine, AU,-14.46963120689332, 132.25933669712455
Uluru, AU,-25.343795325022608, 131.0368024888804
